8	aminocoumarin antibiotic	aminoglycoside antibiotic	antibacterial free fatty acids	bicyclomycin-like antibiotic	carbapenem	cephalosporin	cephamycin	diaminopyrimidine antibiotic	diarylquinoline antibiotic	disinfecting agents and antiseptics	elfamycin antibiotic	fluoroquinolone antibiotic	fusidane antibiotic	glycopeptide antibiotic	glycylcycline	isoniazid-like antibiotic	lincosamide antibiotic	macrolide antibiotic	monobactam	mupirocin-like antibiotic	nitrofuran antibiotic	nitroimidazole antibiotic	nucleoside antibiotic	nybomycin-like antibiotic	oxazolidinone antibiotic	pactamycin-like antibiotic	penam	penem	peptide antibiotic	phenicol antibiotic	phosphonic acid antibiotic	pleuromutilin antibiotic	polyamine antibiotic	pyrazine antibiotic	rifamycin antibiotic	salicylic acid antibiotic	streptogramin A antibiotic	streptogramin B antibiotic	streptogramin antibiotic	sulfonamide antibiotic	sulfone antibiotic	tetracycline antibiotic	thioamide antibiotic	zoliflodacin-like antibiotic
Ireland	0.052	0.039	0.0	0.002	0.054	0.06	0.037	0.06	0.0	0.058	0.002	0.091	0.0	0.01	0.01	0.0	0.002	0.089	0.056	0.0	0.0	0.0	0.006	0.002	0.002	0.0	0.06	0.029	0.045	0.093	0.002	0.002	0.0	0.0	0.004	0.0	0.002	0.002	0.002	0.023	0.0	0.103	0.0	0.0
Israel	0.045	0.041	0.0	0.002	0.047	0.05	0.033	0.055	0.0	0.074	0.001	0.096	0.0	0.015	0.009	0.0	0.008	0.098	0.043	0.0	0.0	0.0	0.007	0.005	0.001	0.0	0.049	0.024	0.04	0.096	0.001	0.008	0.0	0.0	0.002	0.0	0.008	0.008	0.008	0.017	0.0	0.107	0.0	0.0
Kazakhstan	0.043	0.045	0.0	0.002	0.042	0.047	0.027	0.055	0.0	0.064	0.002	0.088	0.0	0.027	0.016	0.0	0.012	0.093	0.041	0.0	0.0	0.0	0.014	0.004	0.001	0.0	0.047	0.021	0.043	0.093	0.001	0.012	0.0	0.0	0.002	0.0	0.012	0.012	0.012	0.016	0.0	0.106	0.0	0.0
Lebanon	0.045	0.044	0.0	0.002	0.046	0.051	0.033	0.055	0.0	0.057	0.002	0.085	0.0	0.023	0.016	0.0	0.009	0.089	0.045	0.0	0.0	0.0	0.012	0.003	0.002	0.0	0.051	0.026	0.047	0.092	0.002	0.009	0.0	0.0	0.004	0.0	0.009	0.009	0.009	0.02	0.0	0.103	0.0	0.0
Malaysia	0.038	0.041	0.0	0.001	0.04	0.046	0.031	0.044	0.0	0.053	0.001	0.081	0.0	0.036	0.016	0.0	0.021	0.091	0.038	0.0	0.0	0.0	0.014	0.006	0.002	0.0	0.046	0.024	0.046	0.087	0.001	0.021	0.0	0.0	0.003	0.0	0.021	0.021	0.021	0.018	0.0	0.091	0.0	0.0
Mexico	0.045	0.037	0.0	0.002	0.048	0.052	0.037	0.051	0.0	0.058	0.001	0.089	0.0	0.02	0.01	0.0	0.012	0.092	0.047	0.0	0.0	0.0	0.007	0.006	0.003	0.0	0.052	0.029	0.044	0.089	0.001	0.012	0.0	0.0	0.003	0.0	0.012	0.012	0.012	0.022	0.0	0.093	0.0	0.0
Myanmar	0.037	0.037	0.0	0.001	0.043	0.046	0.031	0.045	0.0	0.053	0.001	0.075	0.0	0.033	0.009	0.0	0.024	0.095	0.041	0.0	0.0	0.0	0.007	0.004	0.005	0.0	0.045	0.024	0.038	0.094	0.001	0.024	0.0	0.0	0.004	0.0	0.024	0.024	0.024	0.018	0.001	0.09	0.0	0.0
Netherlands	0.045	0.043	0.0	0.002	0.046	0.052	0.033	0.054	0.0	0.063	0.002	0.088	0.0	0.02	0.012	0.0	0.01	0.093	0.044	0.0	0.0	0.0	0.009	0.004	0.002	0.0	0.051	0.025	0.043	0.093	0.002	0.01	0.0	0.0	0.004	0.0	0.01	0.01	0.01	0.02	0.001	0.102	0.0	0.0
New Zealand	0.048	0.04	0.0	0.002	0.048	0.052	0.034	0.059	0.0	0.069	0.001	0.096	0.0	0.014	0.008	0.0	0.006	0.098	0.047	0.0	0.0	0.0	0.007	0.005	0.001	0.0	0.051	0.025	0.041	0.097	0.001	0.006	0.0	0.0	0.002	0.0	0.006	0.006	0.006	0.018	0.0	0.107	0.0	0.0
Nigeria	0.035	0.05	0.0	0.002	0.037	0.036	0.023	0.043	0.0	0.048	0.002	0.06	0.0	0.053	0.029	0.0	0.025	0.088	0.035	0.0	0.0	0.0	0.027	0.002	0.001	0.0	0.035	0.017	0.052	0.087	0.001	0.025	0.0	0.0	0.002	0.0	0.025	0.025	0.025	0.014	0.0	0.096	0.0	0.0
Pakistan	0.045	0.042	0.0	0.002	0.048	0.052	0.033	0.056	0.0	0.068	0.001	0.092	0.0	0.016	0.01	0.0	0.007	0.095	0.045	0.0	0.0	0.0	0.008	0.005	0.001	0.0	0.051	0.025	0.042	0.094	0.001	0.007	0.0	0.0	0.003	0.0	0.007	0.007	0.007	0.019	0.001	0.106	0.0	0.0
Peru	0.043	0.044	0.0	0.002	0.043	0.049	0.033	0.05	0.0	0.052	0.003	0.085	0.0	0.029	0.019	0.0	0.013	0.088	0.041	0.0	0.001	0.0	0.015	0.004	0.001	0.0	0.048	0.025	0.046	0.091	0.004	0.013	0.0	0.0	0.006	0.0	0.013	0.013	0.013	0.017	0.001	0.1	0.0	0.0
Poland	0.046	0.046	0.0	0.002	0.047	0.053	0.035	0.054	0.0	0.056	0.002	0.083	0.0	0.022	0.015	0.0	0.009	0.087	0.045	0.0	0.0	0.0	0.011	0.002	0.002	0.0	0.054	0.028	0.046	0.091	0.002	0.009	0.0	0.0	0.004	0.0	0.009	0.009	0.009	0.022	0.002	0.099	0.0	0.0
Qatar	0.037	0.053	0.0	0.003	0.041	0.045	0.029	0.047	0.0	0.053	0.003	0.076	0.0	0.036	0.021	0.0	0.015	0.085	0.04	0.0	0.0	0.0	0.018	0.002	0.003	0.0	0.045	0.022	0.047	0.093	0.001	0.015	0.0	0.0	0.003	0.0	0.015	0.015	0.018	0.019	0.004	0.097	0.0	0.0
Russia	0.046	0.04	0.0	0.002	0.048	0.052	0.032	0.057	0.0	0.071	0.001	0.094	0.0	0.015	0.01	0.0	0.007	0.096	0.045	0.0	0.0	0.0	0.007	0.005	0.001	0.0	0.051	0.024	0.041	0.096	0.001	0.007	0.0	0.0	0.003	0.0	0.007	0.007	0.007	0.018	0.001	0.108	0.0	0.0
